"0000A","AA","ME ID Code and Description","0000A - Annual Estimates Profile"
"0000A","AA","ME ID Description","Annual Estimates Profile"
"0000B","AA","ME ID Code and Description","0000B - Final ME Profiles"
"0000B","AA","ME ID Description","Final ME Profiles"
"MA0RE","AA","MA ID Description","Related Entity Values"
"MANFA","AA","MA ID Description","Non-Financial Asset Values"
"MAEQU","AA","MA ID Description","Equity Values"
"MACFS","AA","MA ID Description","Cash Flow Values"
"MA0RE - ADMIN","AA","MA ID Description","Administered Related Entity Signoff"
"MANFA - ADMIN","AA","MA ID Description","Administered Non-financial Asset Signoff"
"MAEQU - ADMIN","AA","MA ID Description","Administered Equity Signoff"
"MACFS - ADMIN","AA","MA ID Description","Administered Cash Flow Signoff"
"MA0RE - DEPT","AA","MA ID Description","Departmental Related Entity Signoff"
"MANFA - DEPT","AA","MA ID Description","Departmental Non-financial Asset Signoff"
"MAEQU - DEPT","AA","MA ID Description","Departmental Equity Signoff"
"MACFS - DEPT","AA","MA ID Description","Departmental Cash Flow Signoff"
"00226","AS","sys_old meas","M00000"
"00274","AS","sys_new meas","M00243"
"00274","AS","sys_old meas","M00000"
"00275","AS","sys_new meas","M00243"
"00275","AS","sys_old meas","M00000"
"00478","AS","sys_new meas","M00206"
"00478","AS","sys_old meas","M00155"
"00479","AS","sys_new meas","M00206"
"00479","AS","sys_old meas","M00156"
"00481","AS","sys_new meas","M00206"
"00482","AS","sys_new meas","M00206"
"00485","AS","sys_new meas","M00207"
"00499","AS","sys_new meas","M00209"
"00500","AS","sys_new meas","M00208"
"00501","AS","sys_new meas","M00210"
"00513","AS","sys_new meas","M00234"
"00513","AS","sys_old meas","M00000"
"00515","AS","sys_new meas","M00235"
"00515","AS","sys_old meas","M00000"
"00517","AS","sys_new meas","M00238"
"00517","AS","sys_old meas","M00198"
"00519","AS","sys_new meas","M00245"
"00519","AS","sys_old meas","M00199"
"00521","AS","sys_new meas","M00218"
"00521","AS","sys_old meas","M00201"
"00523","AS","sys_new meas","M00252"
"00523","AS","sys_old meas","M00202"
"00525","AS","sys_new meas","M00250"
"00525","AS","sys_old meas","M00205"
"00528","AS","sys_new meas","M00249"
"00528","AS","sys_old meas","M00207"
"00529","AS","sys_new meas","M00244"
"00529","AS","sys_old meas","M00000"
"00535","AS","sys_new meas","M00226"
"00535","AS","sys_old meas","M00000"
"00536","AS","sys_new meas","M00236"
"00536","AS","sys_old meas","M00000"
"00537","AS","sys_new meas","M00227"
"00537","AS","sys_old meas","M00000"
"00541","AS","sys_new meas","M00215"
"00541","AS","sys_old meas","M00000"
"00542","AS","sys_new meas","M00215"
"00542","AS","sys_old meas","M00000"
"00558","AS","sys_new meas","M00242"
"00558","AS","sys_old meas","M00208"
"00562","AS","sys_new meas","M00239"
"00562","AS","sys_old meas","M00000"
"00563","AS","sys_new meas","M00240"
"00563","AS","sys_old meas","M00000"
"00564","AS","sys_new meas","M00251"
"00564","AS","sys_old meas","M00000"
"00565","AS","sys_new meas","M00223"
"00565","AS","sys_old meas","M00212"
"00566","AS","sys_new reason","1012"
"00566","AS","sys_new meas","M00000"
"00566","AS","sys_old meas","M00212"
"00568","AS","sys_new meas","M00257"
"00568","AS","sys_old meas","M00225"
"00569","AS","sys_new meas","M00224"
"00569","AS","sys_old meas","M00214"
"00570","AS","sys_new meas","M00253"
"00570","AS","sys_old meas","M00219"
"00571","AS","sys_new meas","M00216"
"00571","AS","sys_old meas","M00216"
"00572","AS","sys_new meas","M00255"
"00572","AS","sys_old meas","M00217"
"00573","AS","sys_new meas","M00246"
"00573","AS","sys_old meas","M00218"
"00575","AS","sys_new meas","M00247"
"00575","AS","sys_old meas","M00220"
"00576","AS","sys_new meas","M00256"
"00576","AS","sys_old meas","M00199"
"00578","AS","sys_new meas","M00212"
"00579","AS","sys_new meas","M00208"
"00579","AS","sys_old meas","M00160"
"00585","AS","sys_new meas","M00254"
"00586","AS","sys_new meas","M00255"
"00586","AS","sys_old meas","M00217"
"00587","AS","sys_new meas","M00253"
"00587","AS","sys_old meas","M00219"
"00588","AS","sys_new meas","M00233"
"00588","AS","sys_old meas","M00225"
"00590","AS","sys_new reason","1012"
"00590","AS","sys_new meas","M00000"
"00590","AS","sys_old meas","M00221"
"00592","AS","sys_new meas","M00220"
"00592","AS","sys_old meas","M00215"
"00593","AS","sys_new meas","M00241"
"00593","AS","sys_old meas","M00223"
"00594","AS","sys_new meas","M00217"
"00595","AS","sys_new meas","M00230"
"00595","AS","sys_old meas","M00227"
"00597","AS","sys_new meas","M00212"
"00598","AS","sys_new meas","M00258"
"00598","AS","sys_old meas","M00231"
"00599","AS","sys_new meas","M00253"
"00600","AS","sys_new meas","M00253"
"00600","AS","sys_old meas","M00226"
"00608","AS","sys_new meas","M00229"
"00608","AS","sys_old meas","M00000"
"00609","AS","sys_new meas","M00228"
"00609","AS","sys_old meas","M00000"
"00611","AS","sys_new meas","M00229"
"00611","AS","sys_old meas","M00000"
"00614","AS","sys_new meas","M00213"
"00614","AS","sys_old meas","M00206"
"00619","AS","sys_new meas","M00208"
"00619","AS","sys_old meas","M00162"
"00621","AS","sys_new meas","M00232"
"00623","AS","sys_new meas","M00232"
"00625","AS","sys_new meas","M00232"
"00628","AS","sys_new meas","M00232"
"00629","AS","sys_new meas","M00232"
"00631","AS","sys_new meas","M00232"
"00632","AS","sys_new meas","M00232"
"00633","AS","sys_new meas","M00232"
"00634","AS","sys_new meas","M00232"
"00635","AS","sys_new meas","M00232"
"00636","AS","sys_new meas","M00232"
"00637","AS","sys_new meas","M00232"
"00638","AS","sys_new meas","M00232"
"00639","AS","sys_new meas","M00232"
"00640","AS","sys_new meas","M00232"
